type,model,accuracy,recall,precision,f1,auc,cm,runtime
Orig,Orig,0.8894,0.4971,0.5136,0.5052,0.7184,"[[5031  323]
 [ 345  341]]",0.0
Under,RandomUnderSampler,0.7387,0.7693,0.7292,0.7487,0.7383,"[[464 192]
 [155 517]]",0.07
Under,RandomUnderSampler,0.6928,0.7426,0.6798,0.7098,0.6922,"[[421 235]
 [173 499]]",0.08
Under,TomekLinks,0.906,0.588,0.6071,0.5974,0.7684,"[[4929  266]
 [ 288  411]]",0.73
Under,TomekLinks,0.906,0.588,0.6071,0.5974,0.7684,"[[4929  266]
 [ 288  411]]",2.14
Under,ENN(EditedNearestNeighbours),0.9142,0.6771,0.727,0.7012,0.8164,"[[3828  178]
 [ 226  474]]",2.82
Under,OneSidedSelection(2+3 Tomek + CNN),0.9031,0.5867,0.5756,0.5811,0.7654,"[[4927  292]
 [ 279  396]]",3.06
Under,Neighbourhood Cleansing Rule (3+4 CNN+ENN),0.9009,0.6292,0.6193,0.6242,0.7855,"[[3947  244]
 [ 234  397]]",2.8
Over,RandomOverSampler,0.966,0.9996,0.9367,0.9671,0.9659,"[[5005  364]
 [   2 5382]]",0.03
Over,ADASYN(Adaptive Synthetic Sampling),0.8837,0.9035,0.8721,0.8875,0.8834,"[[4621  732]
 [ 533 4992]]",0.36
Over,SMOTE,0.8935,0.9055,0.8846,0.8949,0.8935,"[[4733  636]
 [ 509 4875]]",0.1
Over+Under,SMOTEENN (SMOTE + ENN),0.8934,0.8979,0.8735,0.8856,0.8937,"[[4789  595]
 [ 467 4109]]",1.13
Over+Under,SMOTETomek(SMOTE + TOMEK),0.8892,0.8969,0.8829,0.8898,0.8892,"[[4728  636]
 [ 551 4794]]",2.26
